No.,Gender,Artist,Item,Streams,Daily Increases,Color,Streams (in millions),,ItemF,Daily IncreasesF,Streams (in millions)F,,,ItemM,Daily IncreasesM,Streams (in millions)M,,,ItemA,Daily IncreasesA,Streams (in millions)A,,,,
28,Female,IZ*ONE,IZ*ONE - La Vie en Rose MV (Female),180337150,323239,red,180.33715,,IZ*ONE - La Vie en Rose MV (Female),323239,180.33715,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
29,Male,TXT ,TXT - CROWN MV (Male),176181970,52594,blue,176.18197,,Male Average,130429,301.2914,,,TXT - CROWN MV (Male),52594,176.18197,,,Male Average,130429,301.2914,,,,
30,Male,NCT DREAM,NCT DREAM - Hot Sauce MV (Male),172894827,41282,blue,172.894827,,Male Average,130429,301.2914,,,NCT DREAM - Hot Sauce MV (Male),41282,172.894827,,,Male Average,130429,301.2914,,,,
31,Male,NCT 127,NCT 127 - Kick It MV (Male),171661449,43852,blue,171.661449,,Male Average,130429,301.2914,,,NCT 127 - Kick It MV (Male),43852,171.661449,,,Male Average,130429,301.2914,,,,
32,Male,Wanna One,Wanna One - Energetic MV (Male),161051986,16638,blue,161.051986,,Male Average,130429,301.2914,,,Wanna One - Energetic MV (Male),16638,161.051986,,,Male Average,130429,301.2914,,,,
33,Male,SHINee ,SHINee - Ring Ding Dong MV (Male),161021793,33233,blue,161.021793,,Male Average,130429,301.2914,,,SHINee - Ring Ding Dong MV (Male),33233,161.021793,,,Male Average,130429,301.2914,,,,
34,Female,LE SSERAFIM,LE SSERAFIM - FEARLESS OFFICIAL M/V (Female),148122754,136715,red,148.122754,,LE SSERAFIM - FEARLESS OFFICIAL M/V (Female),136715,148.122754,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
35,Female,Weeekly,Weeekly - After School MV (Female),147844460,357884,red,147.84446,,Weeekly - After School MV (Female),357884,147.84446,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
36,Female,f(x),f(x) - Electric Shock MV (Female),140276936,8042,red,140.276936,,f(x) - Electric Shock MV (Female),8042,140.276936,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
37,Female,SISTAR,SISTAR - Music Video (Alone) (Female),138701524,20441,red,138.701524,,SISTAR - Music Video (Alone) (Female),20441,138.701524,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
