No.,Gender,Artist,Video2,Streams,Daily Increases,Color,Streams (in millions),Streams (in millions),ArtistVideoGender,,,,,,
37,Female,SISTAR,SISTAR - Music Video (Alone) (Female),138701524,20441,red,138.701524,138.701524,SISTAR - Music Video (Alone) (Female),,,,,,??? Music Video (Alone)
38,Male,MONSTAX,MONSTAX - HERO Rooftop Ver. (Male),132264672,8373,blue,132.264672,132.264672,MONSTAX - HERO Rooftop Ver. (Male),,,,,,??? (HERO) Rooftop Ver.
39,Female,IRENE & SEULGI,IRENE & SEULGI - Monster MV (Female),131870148,21438,red,131.870148,131.870148,IRENE & SEULGI - Monster MV (Female),,,,,,Monster' MV
40,Male,NU'EST,NU'EST - FACE MV (Male),130499985,21155,blue,130.499985,130.499985,NU'EST - FACE MV (Male),,,,,,FACE(???)
41,Male,NCT 2020,NCT 2020 - RESONANCE MV (Male),124167721,23124,blue,124.167721,124.167721,NCT 2020 - RESONANCE MV (Male),,,,,,RESONANCE' MV
42,Female,Wonder Girls,Wonder Girls - NOBODY (Eng. Ver) M/V (Female),123562948,27953,red,123.562948,123.562948,Wonder Girls - NOBODY (Eng. Ver) M/V (Female),,,,,,"""NOBODY (Eng. Ver)"" M/V"
43,Co-ed,Trouble Maker,Trouble Maker - Trouble Maker M/V (Mixed),122544462,23521,green,122.544462,122.544462,Trouble Maker - Trouble Maker M/V (Mixed),,,,,,Trouble Maker' M/V
44,Male,SuperM ,SuperM - Jopping MV (Male),122125606,14841,blue,122.125606,122.125606,SuperM - Jopping MV (Male),,,,,,?Jopping? MV
45,Male,BEAST ,BEAST - FICTION (Official Music Video) (Male),121443326,29077,blue,121.443326,121.443326,BEAST - FICTION (Official Music Video) (Male),,,,,,FICTION' (Official Music Video)
47,Male,X1,X1 - FLASH MV (Male),12040247,36998,blue,12.040247,12.040247,X1 - FLASH MV (Male),,,,,,FLASH' MV
48,Female,BOL4,BOL4 - Some MV (Female),119274272,39306,red,119.274272,119.274272,BOL4 - Some MV (Female),,,,,,Some(? ???)
49,Female,KARA ,KARA - STEP M/V (Female),119223814,20870,red,119.223814,119.223814,KARA - STEP M/V (Female),,,,,,STEP M/V
50,Female,EXID,EXID - (UP&DOWN) MV (Female),118898194,11224,red,118.898194,118.898194,EXID - (UP&DOWN) MV (Female),,,,,,???' (UP&DOWN) MV
51,Female,SISTAR19,SISTAR19 - Ma Boy Music Video (Female),115630854,23989,red,115.630854,115.630854,SISTAR19 - Ma Boy Music Video (Female),,,,,,Ma Boy Music Video
